CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing
42-MG-BA,687561,165,165_687561,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.906236776,0.883862556,0.885028864,0.8521651379999999,0.916243045,0.769778738,0.6968463359999999,0.601129144,0.055700292,DMOG,42-MG-BA,0.7821267493242996,-0.8666666666666665,0
HEC-1,907051,276,276_907051,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9886907,1.003204737,1.056898841,1.051314798,0.968536666,0.5040248079999999,0.195876242,0.100323072,0.022238223,CAY10603,HEC-1,0.7088876642454824,-0.7818181818181817,0
MPP-89,908150,165,165_908150,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975159692,1.02328691,0.79248359,0.888781767,0.873761421,0.66149515,0.5797230560000001,0.059268502,0.075811003,DMOG,MPP-89,0.7102072878932865,-0.9151515151515152,0
SUP-B15,1247871,304,304_1247871,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.150694285,1.012945623,1.062058537,0.907401051,0.8954993640000001,0.827998305,0.933365681,0.67657331,0.164564539,SB52334,SUP-B15,0.8943131583960259,-0.8424242424242423,0
H3118,1240140,172,172_1240140,2,32.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.10254755,1.227032527,1.120672994,1.2576611,1.152022604,0.566722253,0.20952382100000005,0.163063407,0.091868785,Embelin,H3118,0.8161311835553773,-0.6363636363636362,0
RCC-MF,1524419,225,225_1524419,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.073627733,1.020939094,1.085082979,1.083805596,0.989210535,0.849156185,0.6826453440000001,0.040377797,0.022366231,Genentech Cpd 10,RCC-MF,0.8151142644991716,-0.7818181818181817,0
NCI-H187,688007,291,291_688007,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.07870568,1.154361758,1.082555379,0.99963562,1.091228737,1.159103398,1.108119229,1.003918475,0.15942717,KIN001-266,NCI-H187,1.0285935401279498,-0.07878787878787878,0
S-117,910946,269,269_910946,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.070457559,1.034062849,1.037882568,1.091979911,1.085362133,1.090781839,1.046350378,0.841206931,0.056892862,NSC-207895,S-117,0.9807256222190566,-0.2,0
OV-7,1480360,225,225_1480360,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.984755725,1.151270826,0.904178301,0.7892518479999999,0.757070792,0.5294053910000001,0.420455513,0.266436098,0.090190074,Genentech Cpd 10,OV-7,0.7053243924011703,-0.9636363636363636,0
MDA-MB-231,905960,194,194_905960,2,0.256,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.993053818,0.941529041,0.968905491,0.942919911,1.000416444,0.994779476,0.599410514,0.144416525,0.09162064,Luminespib,MDA-MB-231,0.7923601712904192,-0.6121212121212121,0
SU-DHL-16,1331034,35,35_1331034,2,2.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.970126906,1.037069601,1.014875713,1.037669509,0.999834576,0.981226564,0.969316622,0.80749614,0.071081697,NVP-TAE684,SU-DHL-16,0.9281284978128458,-0.6727272727272726,0
LS-123,907792,165,165_907792,2,4000.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.036482456,0.974600699,0.961466377,0.88324194,0.907299555,0.920633343,0.912553284,0.623746958,0.07158142,DMOG,LS-123,0.8617572580335136,-0.8787878787878788,0
LS-180,998189,272,272_998189,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.979408735,0.964178586,0.914891747,0.971338087,0.74310732,0.535123746,0.351057199,0.250104671,0.198140622,AR-42,LS-180,0.7009200448229693,-0.9636363636363636,0
